c  
c d-f data from Barklem, O'Mara and Ross, 1998, MNRAS, 296, 1057
c
.233  .231  .227  .224  .222  .217  .219  .235  .252  .243  .259  .298  .341  .350  .264  .256  .290  .397  .424  .438  .348  .313  .408  .405  .410  .429  .464  .480  
.241  .238  .233  .227  .223  .219  .223  .239  .257  .247  .262  .269  .307  .352  .345  .265  .263  .363  .447  .402  .319  .291  .447  .446  .433  .435  .465  .481  
.237  .239  .235  .230  .224  .221  .225  .240  .255  .252  .257  .275  .295  .328  .359  .341  .275  .311  .390  .378  .320  .292  .447  .456  .459  .454  .471  .483  
.234  .236  .235  .233  .228  .225  .228  .237  .245  .248  .251  .260  .277  .317  .348  .369  .339  .329  .391  .415  .338  .290  .474  .459  .461  .477  .503  .509  
.268  .269  .267  .264  .259  .255  .253  .255  .256  .256  .270  .277  .281  .308  .345  .365  .372  .375  .444  .459  .401  .326  .503  .507  .493  .503  .553  .584  
.348  .346  .344  .340  .334  .333  .330  .329  .332  .332  .342  .348  .349  .366  .383  .395  .401  .395  .469  .551  .534  .450  .548  .577  .565  .553  .588  .667  
.559  .554  .547  .543  .534  .525  .517  .506  .494  .481  .487  .496  .490  .485  .483  .482  .464  .432  .485  .624  .664  .649  .667  .658  .633  .613  .631  .726  
.846  .835  .824  .810  .795  .777  .754  .724  .694  .664  .650  .642  .614  .593  .565  .527  .485  .443  .469  .644  .758  .771  .687  .709  .699  .669  .666  .754  
.487  .484  .480  .477  .478  .474  .471  .466  .462  .444  .442  .439  .433  .438  .442  .449  .452  .446  .508  .616  .637  .601  .631  .594  .577  .618  .701  .797  

